Index,OEM,Model,Launch Announced,Launch Status,Body Dimensions,Body Weight,Body SIM,Display Type,Display Size,Display Resolution,Features Sensors,Platform OS
0,Garmin-Asus,nuvifone M10,2010,January. Released 2010,March",Discontinued,,,Mini-SIM,"TFT resistive touchscreen,65K colors","3.5 inches
1,Gigabyte,GSmart G1305 Boston,2010,April. Released 2010,April",Discontinued,116 x 56.8 x 12.4 mm (4.57 x 2.24 x 0.49 in),118 g (4.16 oz),Mini-SIM,"TFT capacitive touchscreen,256K colors","3.2 inches
2,Gigabyte,GSmart,,Cancelled,103 x 54 x 13.4 mm (4.06 x 2.13 x 0.53 in),,Mini-SIM,"TFT capacitive touchscreen,256K colors","2.8 inches,24.3 cm (~43.7% screen-to-body ratio)","240 x 320 pixels
3,Google,Pixel 4 XL,2019,October 15","Available. Released 2019,October 22",160.4 x 75.1 x 8.2 mm (6.31 x 2.96 x 0.32 in),193 g (6.81 oz),Nano-SIM card & eSIM,"P-OLED capacitive touchscreen,16M colors","6.3 inches
4,Google,Pixel 4,2019,October 15","Available. Released 2019,October 22",147.1 x 68.8 x 8.2 mm (5.79 x 2.71 x 0.32 in),162 g (5.71 oz),Nano-SIM card & eSIM,"P-OLED capacitive touchscreen,16M colors","5.7 inches
5,Google,Pixel 3a XL,2019,May 07","Available. Released 2019,May 15",160.1 x 76.1 x 8.2 mm (6.30 x 3.00 x 0.32 in),167 g (5.89 oz),"Nano-SIM,eSIM","OLED capacitive touchscreen,16M colors"
6,Google,Pixel 3a,2019,May 07","Available. Released 2019,May 15",151.3 x 70.1 x 8.2 mm (5.96 x 2.76 x 0.32 in),147 g (5.19 oz),Nano-SIM,"OLED capacitive touchscreen,16M colors","5.6 inches
7,Haier,N60,2005,Q1",Discontinued,94 x 48 x 25 mm (3.70 x 1.89 x 0.98 in),131 g (4.62 oz),Mini-SIM,"TFT resistive touchscreen,256K colors",,"320 x 240 pixels
8,Haier,T3000,2005,Q1",Discontinued,85 x 45 x 23.5 mm (3.35 x 1.77 x 0.93 in),85 g (3.00 oz),Mini-SIM,65K colors,,128 x 160 pixels,V1
9,Haier,V280,2005,Discontinued,109 x 44 x 14.5 mm (4.29 x 1.73 x 0.57 in),80 g (2.82 oz),Mini-SIM,65K colors,,128 x 160 pixels,V1,
10,Haier,V190,2004,Discontinued,106 x 46 x 18.8 mm (4.17 x 1.81 x 0.74 in),90 g (3.17 oz),Mini-SIM,65K colors,,"128 x 128 pixels,1:1 ratio",V1
11,Haier,V100,2004,Discontinued,106 x 46 x 18.8 mm (4.17 x 1.81 x 0.74 in),90 g (3.17 oz),Mini-SIM,65K colors,,"128 x 128 pixels,1:1 ratio",V1
12,Haier,P5,2003,Discontinued,135 x 28 x 18 mm (5.31 x 1.10 x 0.71 in),75 g (2.65 oz),Mini-SIM,Monochrome,,"64 x 102 pixels,16:10 ratio",V1
13,Haier,Z8000,2004,Discontinued,83 x 44 x 23.8 mm (3.27 x 1.73 x 0.94 in),90 g (3.17 oz),Mini-SIM,4096 colors,,"128 x 128 pixels,1:1 ratio",V1
14,Honor,8S 2020,2020,May 27","Available. Released 2020,May 27",147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in),146 g (5.15 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
15,Honor,Play4,2020,June 03","Available. Released 2020,June 13",170 x 78.5 x 8.9 mm (6.69 x 3.09 x 0.35 in),213 g (7.51 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
16,Honor,Play4 Pro,2020,June 03","Available. Released 2020,June 10",162.7 x 75.8 x 8.9 mm (6.41 x 2.98 x 0.35 in),213 g (7.51 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
17,Honor,X10 5G,2020,May 20","Available. Released 2020,May 26",163.7 x 76.5 x 8.8 mm (6.44 x 3.01 x 0.35 in),203 g (7.16 oz),"Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
18,Honor,V6,2020,May 19","Available. Released 2020,June 15",245.2 x 154.9 x 7.8 mm (9.65 x 6.10 x 0.31 in),480 g (1.06 lb),No,"IPS LCD capacitive touchscreen,16M colors","10.4 inches
19,Honor,9A,2020,April 29","Available. Released 2020,May 04",159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in),185 g (6.53 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
20,Honor,9C,2020,April 29","Available. Released 2020,May 04",159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176 g (6.21 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
21,Honor,9S,2020,April 29","Available. Released 2020,May 04",146.5 x 70.9 x 8.4 mm (5.77 x 2.79 x 0.33 in),144 g (5.08 oz),"Dual SIM (Nano-SIM,dual stand-by)","Capacitive touchscreen,16M colors"
22,Honor,9X Lite,2020,April 17","Available. Released 2020,May 14",160.4 x 76.6 x 7.8 mm (6.31 x 3.02 x 0.31 in),188 g (6.63 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
23,Honor,30 Pro+,2020,April 15","Available. Released 2020,April 21",160.3 x 73.6 x 8.4 mm (6.31 x 2.90 x 0.33 in),190 g (6.70 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
24,Honor,30 Pro,2020,April 15","Available. Released 2020,April 21",160.3 x 73.6 x 8.4 mm (6.31 x 2.90 x 0.33 in),186 g (6.56 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
25,Honor,30,2020,April 15","Available. Released 2020,April 21",160.3 x 74.2 x 8.1 mm (6.31 x 2.92 x 0.32 in),185 g (6.53 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
26,Honor,20e,2020,April 16","Available. Released 2020,April 27",154.8 x 73.6 x 8 mm (6.09 x 2.90 x 0.31 in),164 g (5.78 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
27,Honor,Play 4T Pro,2020,April 09","Available. Released 2020,April 09",157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in),165 g (5.82 oz),"Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
28,Honor,Play 4T,2020,April 09","Available. Released 2020,April 14",159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176 g (6.21 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
29,Honor,8A 2020,2020,April 10","Available. Released 2020,April 15",156.3 x 73.5 x 8.2 mm (6.15 x 2.89 x 0.32 in),150 g (5.29 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
30,Honor,8A Prime,2020,March 30","Available. Released 2020,March 30",156.3 x 73.5 x 8.2 mm (6.15 x 2.89 x 0.32 in),150 g (5.29 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
31,Honor,30S,2020,March 30","Available. Released 2020,April 07",162.3 x 75 x 8.6 mm (6.39 x 2.95 x 0.34 in),190 g (6.70 oz),"Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
32,Honor,Play 9A,2020,March 30","Available. Released 2020,April 03",159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in),185 g (6.53 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
33,Honor,View30 Pro,2020,February 24","Available. Released 2020,April 27",162.7 x 75.8 x 8.8 mm (6.41 x 2.98 x 0.35 in),206 g (7.27 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
34,Honor,View30,2020,February 24","Available. Released 2020,April 27",162.7 x 75.8 x 8.9 mm (6.41 x 2.98 x 0.35 in),213 g (7.51 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
35,Honor,V30 Pro,2019,November","Available. Released 2019,December",162.7 x 75.8 x 8.8 mm (6.41 x 2.98 x 0.35 in),206 g (7.27 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
36,Honor,MagicWatch 2,2019,November","Available. Released 2019,December",45.9 x 45.9 x 10.7 mm (1.81 x 1.81 x 0.42 in),41 g (1.45 oz),No,"OLED capacitive touchscreen,16M colors","1.39 inches
37,Honor,9X,2019,October 28","Available. Released 2019,November 14",163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in),196.8 g (6.95 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
38,Honor,20 lite (China),2019,October","Available. Released 2019,October",157.2 x 73.2 x 7.7 mm (6.19 x 2.88 x 0.30 in),171.5 g (6.07 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
39,Honor,Play 3e,2019,September","Available. Released 2019,September",147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in),146 g (5.15 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
40,Honor,Play 3,2019,September","Available. Released 2019,September",159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176 g (6.21 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
41,Honor,20S,2019,September","Available. Released 2019,October",154.3 x 74 x 7.9 mm (6.07 x 2.91 x 0.31 in),172 g (6.07 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
42,Honor,9X Pro,2019,July 23","Available. Released 2019,August 09",163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in),202 g (7.13 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
43,Honor,9X (China),2019,July","Available. Released 2019,July",163.1 x 77.2 x 8.8 mm (6.42 x 3.04 x 0.35 in),206 g (7.27 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
44,Honor,8S,2019,April","Available. Released 2019,April",147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in),146 g (5.15 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
45,Honor,Pad 5 10.1,2019,June","Available. Released 2019,July",243 x 164 x 7.8 mm (9.57 x 6.46 x 0.31 in),,Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","10.1 inches
46,Honor,Pad 5 8,2019,June","Available. Released 2019,July",204.2 x 122.2 x 8.2 mm (8.04 x 4.81 x 0.32 in),,Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","8.0 inches
47,Honor,20 Pro,2019,May","Available. Released 2019,July",154.6 x 74 x 8.4 mm (6.09 x 2.91 x 0.33 in),182 g (6.42 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
48,Honor,20,2019,May","Available. Released 2019,June",154.3 x 74 x 7.9 mm (6.07 x 2.91 x 0.31 in),174 g (6.14 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
49,Honor,20 lite,2019,April","Available. Released 2019,April",154.8 x 73.6 x 8 mm (6.09 x 2.90 x 0.31 in),164 g (5.78 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
50,HP,Slate8 Pro,2013,December. Released 2013,December",Discontinued,220 x 141.5 x 9.9 mm (8.66 x 5.57 x 0.39 in),453.6 g (1.00 lb),No,"Capacitive touchscreen,16M colors","8.0 inches
51,HTC,U20 5G,2020,June 16","Coming soon. Exp. release 2020,July",171.2 x 78.1 x 9.4 mm (6.74 x 3.07 x 0.37 in),215.5 g (7.62 oz),"Dual SIM (Nano-SIM,dual stand-by)","Capacitive touchscreen,16M colors"
52,HTC,Desire 20 Pro,2020,June 16","Coming soon. Exp. release 2020,July",162 x 77 x 9.4 mm (6.38 x 3.03 x 0.37 in),201 g (7.09 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
53,HTC,Wildfire R70,2020,February 27","Coming soon. Exp. release 2020,Q3",163.2 x 77.8 x 8.9 mm (6.43 x 3.06 x 0.35 in),186 g (6.56 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
54,HTC,Desire 19s,2019,November 14","Available. Released 2019,November 14",156.2 x 74.8 x 8.5 mm (6.15 x 2.94 x 0.33 in),170 g (6.00 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
55,HTC,Exodus 1s,2019,October 19","Available. Released 2019,December",154.2 x 72.7 x 8.3 mm (6.07 x 2.86 x 0.33 in),150 g (5.29 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
56,HTC,Wildfire X,2019,August 14","Available. Released 2019,August 22",156.7 x 74.9 x 8 mm (6.17 x 2.95 x 0.31 in),160 g (5.64 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
57,HTC,U19e,2019,June 11","Available. Released 2019,June 11",156.6 x 75.9 x 8 mm (6.17 x 2.99 x 0.31 in),180 g (6.35 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
58,HTC,Desire 19+,2019,June 11","Available. Released 2019,August 07",156.2 x 74.8 x 8.5 mm (6.15 x 2.94 x 0.33 in),170 g (6.00 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
59,HTC,Schubert,,Discontinued,,,Mini-SIM,"TFT capacitive touchscreen,16M colors",,,"Accelerometer
60,Huawei,Enjoy 20 Pro,2020,June 19","Coming soon. Exp. release 2020,June 24",160 x 75.3 x 8.4 mm (6.30 x 2.96 x 0.33 in),192 g (6.77 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
61,Huawei,Enjoy Z 5G,2020,May 24","Available. Released 2020,June 03",160 x 75.3 x 8.4 mm (6.30 x 2.96 x 0.33 in),182 g (6.42 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
